Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Sylvester', nazwisko='Stalone, wiek=53, imię='nowy', nazwisko='aktor, wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 14:51:26 CEST 2020, dataZwr=Wed Jun 10 14:51:26 CEST 2020}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Sylvester', nazwisko='Stalone, wiek=53, imię='nowy', nazwisko='aktor, wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 14:51:26 CEST 2020, dataZwr=null}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Arnold', nazwisko='Scharceneger, wiek=0, imię='Jean-Claude', nazwisko='Van Damme, wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 15:02:34 CEST 2020, dataZwr=Wed Jun 10 15:02:34 CEST 2020}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Arnold', nazwisko='Scharceneger, wiek=0, imię='Jean-Claude', nazwisko='Van Damme, wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 15:02:34 CEST 2020, dataZwr=null}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Arnold', nazwisko='Scharceneger, wiek+0, imię='Jean-Claude', nazwisko='Van Damme, wiek+0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 15:05:14 CEST 2020, dataZwr=Wed Jun 10 15:05:14 CEST 2020}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Arnold', nazwisko='Scharceneger, wiek+0, imię='Jean-Claude', nazwisko='Van Damme, wiek+0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 15:05:14 CEST 2020, dataZwr=null}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Arnold', nazwisko='Scharceneger, wiek=0, imię='Jean-Claude', nazwisko='Van Damme, wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 15:06:08 CEST 2020, dataZwr=Wed Jun 10 15:06:08 CEST 2020}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman, scenarzysta=imię='scenarzysta', nazwisko='pierwszy, listaAktorow=[imię='Arnold', nazwisko='Scharceneger, wiek=0, imię='Jean-Claude', nazwisko='Van Damme, wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski, dataWyp=Wed Jun 10 15:06:08 CEST 2020, dataZwr=null}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman', scenarzysta=imię='scenarzysta', nazwisko='pierwszy', listaAktorow=[imię='Arnold', nazwisko='Scharceneger', wiek=0, imię='Jean-Claude', nazwisko='Van Damme', wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski', dataWyp=Wed Jun 10 15:07:24 CEST 2020, dataZwr=Wed Jun 10 15:07:24 CEST 2020}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman', scenarzysta=imię='scenarzysta', nazwisko='pierwszy', listaAktorow=[imię='Arnold', nazwisko='Scharceneger', wiek=0, imię='Jean-Claude', nazwisko='Van Damme', wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski', dataWyp=Wed Jun 10 15:07:24 CEST 2020, dataZwr=null}
Wypożyczenie{film=Film{tytul='tytuł', rok_produkcji=2010, rezyser=imię='Adam', nazwisko='Hoffman', scenarzysta=imię='scenarzysta', nazwisko='pierwszy', listaAktorow=[imię='Arnold', nazwisko='Scharceneger', wiek=0, imię='Jean-Claude', nazwisko='Van Damme', wiek=0]}, klient=imię='Gurek', nazwisko='Kowalski', dataWyp=Wed Jun 10 15:15:02 CEST 2020, dataZwr=Wed Jun 10 15:15:02 CEST 2020}
